id-snippet	n-sentences	n-words	n-nouns	n-adj	n-verbs	n-entities	n-vague	n-concrete	n-conditionals	
hr3199-109.2	3	65	36	7	7	2	2	0	0	Amends the federal criminal code to provide for the forfeiture of the assets of any person planning or perpetrating an act of international terrorism against any international organization or foreign government. Provides that where the property sought for forfeiture is located beyond the territorial boundaries of the United States, an act in furtherance of such planning or perpetration must have occurred within U.S. jurisdiction. (Sec.
hr5948-109.1	14	685	378	65	60	44	4	2	3	Authorizes the President to deny U.S. entry to any alien who: (1) is in the senior leadership of the government of Belarus; (2) is an immediate family member of such person; or (3) through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine democratic institutions or impede Belarus' transition to democracy. Expresses the sense of Congress that: (1) no loan, credit guarantee, insurance, financing, or other similar financial assistance should be extended by any U.S. agency (including the Export-Import Bank and the Overseas Private Investment Corporation) to the government of Belarus, except for humanitarian goods and agricultural or medical products; and (2) no funds available to the Trade and Development Agency should be available for Agency activities in or for Belarus. Expresses the sense of Congress that the President should block all property and property interests that on or after the date of the enactment of this Act: (1) are owned in whole or in part by the government of Belarus, or by any member or family member closely linked to senior government leadership, or any person who through business dealings with senior government leadership derives significant financial benefit from policies or actions that undermine or injure democratic institutions or impede Belarus' transition to democracy; and (2) are in the United States, or in the possession or control of the U.S. government or of any U.S. financial institution, including any branch or office located outside the United States. States that activities prohibited by the blocking of such property interests should include: (1) payments or transfers of property or anything of economic value by any U.S. person to the government of Belarus or to any entity or person acting on its behalf, or to any member of its senior leadership; (2) the export or reexport to any entity owned, controlled, or operated by the government of Belarus of any goods, technology, or services, either by a U.S. person or involving the use of any air carrier or a vessel documented under U.S. law; and (3) the performance by any U.S. person of any contract, including a contract providing a loan or other financing, in support of an industrial, commercial, or public utility operated, controlled, or owned by the government of Belarus. Exempts from such prohibitions: (1) assistance under sections 4 or 5 of this Act; or (2) medicine, medical equipment, food, or other humanitarian assistance provided to Belarus in response to a humanitarian crisis. Belarus Democracy Reauthorization Act of 2006 - (Sec. 3) Amends the Belarus Democracy Act of 2004 to state that it is U.S. policy to: (1) call for the immediate release of all political prisoners in Belarus; (2) support the aspirations of the people of the Republic of Belarus for democracy, human rights, the rule of law, and to preserve their country's independence; (3) support the growth of democratic movements and institutions in Belarus; (4) refuse to accept the results of the March 2006 presidential elections in Belarus and support new presidential elections; (5) refuse to recognize any referendum that would affect Belarus' sovereignty; and (6) work with other countries and international organizations to promote Belarus' integration into the European community of democracies. (Sec. 4) Revises the activities which may be supported by assistance under this Act, including support for youth groups, independent trade unions and entrepreneurs, human rights defenders, independent media, democratic political parties, and international exchanges. Extends authorization of appropriations through FY2008 for such purposes.(Sec. 5) Includes television broadcasting within the scope of increased support and funding for U.S. government and surrogate broadcasting to Belarus. (Currently, such support is limited to radio broadcasting.) (Sec. 6) Establishes specified economic and U.S. entry sanctions against Belarus until the President certifies to the appropriate congressional committees that the government of Belarus has made progress in meeting specified conditions respecting: (1) release of political and religious prisoners and accounting for the disappearances of opposition leaders and journalists; (2) cessation of political harassment; (3) prosecution of senior government leaders for embezzlement of state assets and administration of fraudulent elections; and (4) holding free presidential and parliamentary elections under independent supervision.
hjres2-108.1	4	57	28	7	6	1	2	0	1	(Sec. 527) Prohibits bilateral assistance funds to any country which the President determines grants sanctuary from prosecution to any individual or group which has committed an act of international terrorism or otherwise supports such activities. Authorizes a waiver of this prohibition by the President for national security and humanitarian reasons, requiring notification to the Committees on Appropriations.(Sec.
hjres2-108.2	1	44	22	6	6	2	1	0	2	543)Prohibits the provision of funds to any foreign government that provides lethal military equipment to a country that the Secretary of State has determined has a terrorist government, unless the President determines that the furnishing of such assistance is in the U.S. national interest.
hjres2-108.3	2	62	30	5	6	6	2	0	2	(Sec. 531) Bars assistance to any country that is not in compliance with the United Nations (UN) sanctions against Iraq, unless the President certifies to the Congress that such assistance: (1) is in the U.S. national interest; (2) will directly benefit the needy people in that country; or (3) will be humanitarian assistance for foreign nationals who have fled Iraq and Kuwait.
hjres2-108.4	2	75	41	4	10	4	2	0	2	(Sec. 556) Directs the Secretary of the Treasury to instruct the U.S. executive director of each international financial institution to vote against the extension of any loans to the Government of Zimbabwe (except to meet basic human needs or promote democracy) unless the Secretary of State certifies to the Committees on Appropriations that the rule of law has been restored there, including respect for ownership and title to property, and freedom of speech and association.
hjres2-108.5	5	129	73	9	14	11	1	1	3	(Sec. 557) Prohibits the use of foreign military financing and IMET funds for Nigeria until the President certifies to the Committees on Appropriations that the Nigerian Minister of Defense, the Chief of the Army Staff, and the Minister of State for Defense/Army are suspending from the Armed Forces those members against whom there is evidence of gross violations of human rights in Benue State in October 2001, and the Government of Nigeria and the Nigerian Armed Forces are taking measures to bring them to justice. Authorizes the President to waive such requirements if it is determined to be in the national security interests of the United States. (Sec. 506) Prohibits the use of funds for: (1) the export of nuclear equipment, fuel, or technology (except for nuclear safety purposes);
hjres2-108.6	2	36	23	2	2	8	1	0	0	(Sec. 506) Prohibits the use of funds for: (2) direct assistance or reparations to Cuba, Iraq (except humanitarian and relief assistance if it is in the U.S. national interest), Libya, North Korea, Iran, Sudan, or Syria;
hjres2-108.7	2	34	19	1	6	0	2	0	0	(Sec. 506) Prohibits the use of funds for: (3) assistance (excluding assistance to promote democracy) to the government of any country whose duly elected head of government is deposed by military coup or decree;
hjres2-108.8	2	40	26	2	2	1	1	0	2	(Sec. 506) Prohibits the use of funds for: (5) assistance to the government of any country in default in excess of a year on payments on a U.S. loan (unless the President determines such assistance is in the national interest)
hjres2-108.9	2	57	30	7	12	3	1	0	1	562) Prohibits funds appropriated under this Act, or appropriated under prior Acts for foreign operations, export financing, and related programs, from being made available to KEDO. Authorizes the President to waive such requirement and provide specified amounts to KEDO for administrative expenses if it is determined to be in the national security interests of the United States.
hjres2-108.10	2	32	18	1	4	4	1	1	1	(Sec. 545) Prohibits the obligation of any appropriations for the PLO for the West Bank and Gaza unless the President has exercised certain authorities to suspend prohibitions on assistance to the PLO.
hjres2-108.11	3	46	27	4	5	7	2	0	0	(Sec. 548) Prohibits the obligation of appropriations to create in Jerusalem a new U.S. agency office for the purpose of conducting U.S. business with the Palestinian Authority over Gaza and Jericho (or any successor Palestinian governing entity) provided for in the Israel-PLO Declaration of Principles.(Sec. 552)
hjres2-108.12	1	24	14	1	2	3	1	0	2	Prohibits the obligation of any appropriations for the PLO unless the President certifies to Congress that it is in the U.S. national security interests.
hjres2-108.13	4	151	65	16	29	15	1	1	2	(Sec. 563) Prohibits funds appropriated by this Act from being used to support a Palestinian state unless the Secretary of State certifies to the appropriate congressional committees that: (1) a new leadership of a Palestinian governing entity has been democratically elected; (2) the governing entity of a new Palestinian state has demonstrated a commitment to peace with Israel and is taking appropriate measures to counter terrorism in the West Bank and Gaza; and (3) the Palestinian Authority is working with other countries in the region to establish a lasting peace in the Middle East that will enable Israel and an independent Palestinian state to coexist. Authorizes assistance intended to help reform the Palestinian Authority and affiliated institutions, or a newly elected governing entity, so it can meet the requirements of this section. Authorizes the President to waive such requirements if it is in the national security interests of the United States.
hjres2-108.14	2	113	59	15	14	11	1	0	1	(Sec. 569) Makes foreign military financing program funds available to Indonesia, and authorizes the issuance of licenses for the export of lethal defense articles for the Indonesian Armed Forces, if the President certifies to the appropriate congressional committees that: (1) the Indonesia Minister of Defense is suspending from the Armed Forces those members who have committed gross violations of human rights, or who have aided or abetted militia groups; (2) the Indonesian Government is prosecuting such individuals; (3) the Indonesian Armed Forces are cooperating with civilian prosecutors and judicial authorities in such cases; and (4) the Minister of Defense is making publicly available audits of receipts and expenditures of the Indonesian Armed Forces.
hjres2-108.15	2	55	34	3	9	2	2	0	1	(Sec. 570) Bars the use of funds appropriated by this Act for assistance for the government of any country for which the Secretary of State has determined there is credible evidence that it has aided or abetted, within the previous six months, in the illicit distribution, transportation, or sale of diamonds mined in Sierra Leone.
hjres2-108.16	2	52	28	7	2	5	1	1	1	(Sec. 572) Makes certain foreign assistance funds that were available for the United Nations Population Fund (UNFPA), and an equal amount in this Act, available for the UNFPA if the President determines that the UNFPA no longer supports or participates in the management of a program of coercive abortion or involuntary sterilization.
hjres2-108.17	2	24	13	4	4	2	0	0	0	Prohibits such funds made available to the UNFPA to be used in China. Conditions the availability of such funds to UNFPA on specified requirements.
hjres2-108.18	1	24	11	5	1	0	2	0	0	Bars the availability of appropriated funds or unobligated balances from prior appropriations to any organization or program which supports coercive abortions or involuntary sterilizations.
hjres2-108.19	2	85	46	6	12	1	2	0	0	Authorizes funds to be made available, in order to reduce reliance on abortion in developing nations, to qualified voluntary family planning projects that: (1) offer directly or through referral, or offer information about access to, a broad range of family planning methods and services; and (2) meet specified requirements.(Sec. 518) Prohibits the use of development assistance funds for abortions or involuntary sterilizations as methods of family planning, to motivate or coerce any person to practice abortions, or to provide any financial incentive to undergo sterilization.
hjres2-108.20	2	28	14	1	4	0	1	0	0	(Sec. 533) Prohibits the use of funds to provide: (2) assistance for any project that contributes to the violation of internationally recognized workers rights in the recipient country.
hjres2-108.21	2	108	52	10	15	9	2	1	0	(Sec. 576) Bars the use of funds made available by this Act for assistance (except humanitarian assistance and assistance for democratization), and the Secretary of the Treasury shall instruct the U.S. executive directors of the international financial institutions to vote against any new project involving the extension of financial or technical assistance, to any country (Bosnia and Herzegovina, Croatia, and Serbia), entity, or municipality that has failed to take necessary steps to implement its international legal obligations to apprehend and transfer to the International Criminal Tribunal for the Former Yugoslavia all persons in their territory who have been indicted by the Tribunal and to otherwise cooperate with it.
hjres2-108.22	2	123	68	9	14	10	1	0	2	(Sec. 578) Makes funds appropriated by this Act available after June 15, 2003, for assistance for Serbia if the President determines and certifies to the Committees on Appropriations that the Government of the Federal Republic of Yugoslavia (or a government of a successor state) is: (1) cooperating with the International Criminal Tribunal for Yugoslavia, including regarding the surrender and transfer of indictees or assistance in their apprehension; (2) taking steps consistent with the Dayton Accords to end Serbian financial, political, security and other support which has served to maintain separate Republika Srpska institutions; and (3) taking steps to implement policies which reflect a respect for minority rights and the rule of law, including the release of political prisoners from Serbian jails and prisons.
hjres2-108.23	2	67	40	6	6	2	2	0	0	(Sec. 577) Directs the Secretary of the Treasury to instruct the U.S. executive directors at specified international financial institutions to oppose any loan, grant, strategy or policy that would require user fees or service charges on poor people for primary education or primary health care, including prevention and treatment efforts for HIV/AIDS, malaria, tuberculosis, and infant, child, and maternal well-being, in connection with the institution's lending programs.
hjres2-108.24	1	82	52	6	7	11	0	0	2	Authorizes the President to withhold funds for economic revitalization programs in Bosnia and Herzegovina if the President certifies to the Committees on Appropriations that: (1) the Federation of Bosnia and Herzegovina has not complied with article III of annex 1-A of the General Framework Agreement for Peace in Bosnia and Herzegovina concerning the withdrawal of foreign forces; and (2) intelligence cooperation on training, investigations, and related activities between state sponsors of terrorism and terrorist organizations and Bosnian officials has not been terminated.
hjres2-108.25	1	68	31	11	8	4	1	0	2	Withholds 60 percent of U.S. assistance allocated to the Government of the Russian Federation until the President certifies to specified congressional committees that it: (1) has terminated arrangements to provide Iran with technical expertise, training, technology, or equipment to develop a nuclear reactor or ballistic missile capability; and (2) is providing full access to international nongovernmental organizations providing humanitarian relief to refugees and internally displaced persons in Chechnya.
hjres2-108.26	1	9	6	2	0	4	0	0	0	Prohibits foreign military financing for Sudan, Liberia, and Guatemala.
hjres2-108.27	2	63	34	4	8	3	2	3	0	(Sec. 583) Prohibits the use of funds made available under this Act by OPIC and the Export-Import Bank of the United States to insure, reinsure, guarantee, finance, or extend credit in any project involving the mining, polishing or other process, or sale of diamonds in a country that fails to meet certain requirements with respect to the export and import of rough diamonds.
hjres2-108.28	4	106	50	13	21	3	1	1	1	(Sec. 579) Prohibits funds appropriated by this Act from being made available to provide assistance for a foreign country under a new bilateral agreement governing the terms under which such assistance is to be provided unless such agreement includes a provision stating that such assistance shall be exempt from taxation, or reimbursed, by the foreign government. Requires the Secretary of State to negotiate amendments to existing bilateral agreements to conform them to such requirement. Sets forth certain requirements with respect to reimbursement of foreign taxes to the United States, including the withholding of U.S. assistance in cases where a country does not reimburse the United States.
hjres2-108.29	4	152	76	21	24	10	0	1	4	564) Makes funds appropriated by this Act available for assistance for the Colombian Armed Forces (CAF) to support the Colombian Government's unified campaign against narcotics trafficking and against paramilitary and guerrilla organizations designated as terrorist organizations. Allows the obligation of up to 75 percent of such funds before the Secretary of State has certified to the appropriate congressional committees that the CAF and the Colombian Government are taking specified steps to clear the CAF of, and bring to justice, those members who have committed gross violations of human rights, including extra-judicial killings. Withholds the obligation of up to 12.5 percent of such assistance until the Secretary of State certifies to the appropriate congressional committees that such steps are being taken and the CAF are severing links with paramilitary organizations and apprehending their leaders. Permits obligation of the balance of such funds upon certification that the CAF are continuing to meet these conditions.
hjres2-108.30	2	47	27	1	6	7	2	0	1	(Sec. 565) Prohibits the Secretary of State from issuing a visa to any alien who the Secretary determines has willfully provided (or conspired to provide) support to the Revolutionary Armed Forces of Colombia (FARC), the National Liberation Army (ELN), or the United Self-Defense Forces of Colombia (AUC).
hjres2-108.31	2	43	25	4	1	4	0	0	0	(Sec. 544) Withholds assistance to a foreign country in an amount equal to 110 percent of the total unpaid parking fines and penalties owed by the country to the District of Columbia and New York City, New York, as of September 30, 2002.
hjres2-108.32	1	17	8	1	3	3	1	0	0	Prohibits the United States from paying any voluntary contribution to the UN, including the UN Development Program.
hjres2-108.33	2	51	28	5	7	2	0	0	1	(Sec. 553) Prohibits the use of funds for the security forces of a foreign country if the Secretary of State believes they have committed gross violations of human rights, unless the Secretary reports to the Committees on Appropriations that such country is taking steps to bring the responsible persons to justice.
hjres2-108.34	3	147	79	20	12	9	2	0	2	(Sec. 517) Prohibits the availability of assistance for the Independent States of the former Soviet Union to a government of such an Independent State: (1) unless it is making progress in implementing comprehensive economic reforms based on market principles, private ownership, respect for commercial contracts, and equitable treatment of foreign private investment; (2) if it applies or transfers U.S. assistance to any entity for the purpose of expropriating or seizing ownership of assets, investments, or ventures (unless the President determines such assistance is in the national interest); (3) if it directs action in violation of the territorial integrity or national sovereignty of any other Independent State of the former Soviet Union; or (4) to enhance its military capability (except for demilitarization, demining, or nonproliferation programs). Subjects such assistance for the Russian Federation, Armenia, Georgia, and the Ukraine to the regular notification procedures of the Committees on Appropriations.
hjres2-108.35	4	70	40	10	7	8	0	0	0	(Sec. 560) Directs the Secretary of the Treasury to instruct the U.S. executive directors of international financial institutions to oppose loans to the Central Government of Cambodia (except loans to support basic human needs). Prohibits the availability of funds under this Act for assistance for the Central Government of Cambodia, with specified exceptions. Makes ESF assistance available for activities to support democracy (including assistance for democratic political parties) in Cambodia.
hjres2-108.36	2	36	18	6	4	2	1	1	2	(Sec. 573) Directs the Secretary of the Treasury to withhold ten percent of the U.S. payment to any international financial institution until the Secretary certifies that such institution has implemented certain procurement and financial management reforms.
hjres2-108.37	2	63	40	2	5	8	0	0	2	(Sec. 574) Makes funds appropriated by this Act available for assistance for the Government of Uzbekistan only if the Secretary of State determines and reports to the Committees on Appropriations that it is making substantial and continuing progress in meeting its commitments under the "Declaration on the Strategic Partnership and Cooperation Framework Between the Republic of Uzbekistan and the United States of America.
